source,target,edge_count
2Pac,Big Pun,2
2Pac,Big Syke,18
2Pac,Bizzy Bone,2
2Pac,Candy Hill,2
2Pac,C‐Bo,3
2Pac,DJ King Assassin,6
2Pac,DJ Premier,47
2Pac,DJ Quik,2
2Pac,DMX,4
2Pac,Danny Boy,4
2Pac,Daz Dillinger,3
2Pac,Dr. Dre,10
2Pac,Dru Down,3
2Pac,E.D.I. Mean,6
2Pac,Eminem,3
2Pac,Eric Williams,3
2Pac,E‐40,2
2Pac,Force One Network,3
2Pac,Funky Aztecs,2
2Pac,Hussein Fatal,2
2Pac,Inspectah Deck,2
2Pac,Jadakiss,3
2Pac,Jazze Pha,4
2Pac,Jewell,2
2Pac,Jodeci,2
2Pac,Kastro,5
2Pac,Kurupt,6
2Pac,Kyle Rifkin,2
2Pac,K‐Ci & JoJo,5
2Pac,Method Man,4
2Pac,Mopreme Shakur,6
2Pac,Napoleon,6
2Pac,Nas,4
2Pac,Nate Dogg,12
2Pac,Nutt‐So,4
2Pac,Outlawz,84
2Pac,Rappin’ 4‐Tay,2
2Pac,Redman,2
2Pac,Richie Rich,7
2Pac,Riddler,2
2Pac,Roger Troutman,8
2Pac,Ronald Isley,3
2Pac,Snoop Dogg,16
2Pac,Spice 1,3
2Pac,Storm,8
2Pac,Stretch,5
2Pac,Tha Dogg Pound,4
2Pac,The Down Ass Niggas,5
2Pac,The Notorious B.I.G.,18
2Pac,Treach,2
2Pac,Triple Platinum,2
2Pac,Val Young,4
2Pac,Xzibit,3
2Pac,Yaki Kadafi,7
2Pac,Young Noble,7
50 Cent,2 Chainz,2
50 Cent,2Pac,4
50 Cent,Boosie Badazz,3
50 Cent,Brooklyn,3
50 Cent,Chris Brown,5
50 Cent,Destiny’s Child,4
50 Cent,Eminem,12
50 Cent,G‐Unit,31
50 Cent,Jadakiss,2
50 Cent,Jeremih,3
50 Cent,Justin Timberlake,2
50 Cent,Kidd Kidd,6
50 Cent,Lil’ Kim,2
50 Cent,Lloyd Banks,17
50 Cent,Mobb Deep,4
50 Cent,N.O.R.E.,3
50 Cent,Nas,4
50 Cent,Nate Dogg,4
50 Cent,Ne‐Yo,6
50 Cent,Olivia,4
50 Cent,Prodigy,3
50 Cent,Snoop Dogg,5
50 Cent,Sonny Digital,2
50 Cent,Spider Loc,3
50 Cent,The Madd Rapper,2
50 Cent,The Notorious B.I.G.,5
50 Cent,Timbaland,2
50 Cent,Tony Yayo,13
50 Cent,Troy Ave,2
50 Cent,Young Buck,12
AV,Kurupt,2
AZ,Nas,2
Abel the Kid,"Julio Iglesias, Jr.",4
Abel the Kid,Snoop Dogg,4
Adam F,Redman,3
Alpha Dream,Ne‐Yo,5
Alpha Dream,Snoop Dogg,5
Alyssa Reid,Snoop Dogg,12
Another Level,JAY‐Z,2
Arabian Prince,The Sheiks,3
Armand van Helden,Common,2
Aygün Kazımova,Snoop Dogg,12
A‐Roma,Orru Jackson,2
A‐Roma,Snoop Dogg,2
BADBADNOTGOOD,KAYTRANADA,2
BADBADNOTGOOD,Snoop Dogg,3
Bad Azz,Kokane,2
Bad Azz,Snoop Dogg,2
Barrington Levy,Mims,2
Barrington Levy,Snoop Dogg,2
Belly,Snoop Dogg,2
Beyoncé,JAY‐Z,2
Big Time Rush,Snoop Dogg,2
Bigg B,Jadakiss,13
Bilal,Dr. Dre,2
Bilal,Jadakiss,2
Black Rob,Diddy,2
Black Star,Common,2
Blackstreet,Dr. Dre,6
Blu,Common,13
Blu,David Begun,13
Blu,MED,2
Bobby Jimmy,The Critters,2
Cam’ron,Jim Jones,2
Cam’ron,Kanye West,8
Cam’ron,Twista,2
Cardi B,Kanye West,2
Cardi B,Lil Durk,2
Charlotte Devaney,Snoop Dogg,10
Chico DeBarge,Erick Sermon,2
Chico DeBarge,Redman,2
Chingy,Ludacris,3
Chingy,Snoop Dogg,3
Common,BJ the Chicago Kid,4
Common,Bilal,13
Common,Black Thought,5
Common,Brand Nubian,2
Common,CeeLo Green,4
Common,DJ Honda,2
Common,De La Soul,4
Common,Erykah Badu,9
Common,J Dilla,12
Common,Jill Scott,5
Common,John Legend,3
Common,Juice,2
Common,Lauryn Hill,2
Common,Lonnie Lynn,3
Common,Macy Gray,5
Common,Mary J. Blige,8
Common,Mos Def,4
Common,O-Type Star,2
Common,Omar,2
Common,PJ,11
Common,Pharoahe Monch,2
Common,Pharrell Williams,5
Common,Q‐Tip,7
Common,Rahzel,2
Common,Roy Hargrove,2
Common,Sadat X,3
Common,Samora Pinderhughes,3
Common,Saukrates,3
Common,Syd,2
Common,Talib Kweli,3
Common,The Beatnuts,2
Common,The Last Poets,5
Common,The Roots,2
Common,Vinia Mojica,3
Common,Y-Not,2
Cue,Adassa,2
Cue,Snoop Dogg,2
D.B.A.,Kurupt,5
D.B.A.,WC,5
DJ Drama,Daz Dillinger,20
DJ Drama,Kurupt,20
DJ Honda,Mos Def,6
DJ Khaled,Beyoncé,11
DJ Khaled,JAY‐Z,11
DJ Khaled,Rick Ross,3
DJ Khaled,T‐Pain,2
DJ Quik,Kurupt,13
DJ Quik,Problem,2
DJ Tomekk,G-Style,3
DJ Tomekk,Kurupt,3
DJ Tomekk,Tatwaffe,3
DMX,Ja Rule,3
DMX,Method Man,3
DMX,Nas,3
DZ,Kurupt,3
Da Bush Babees,Mos Def,7
Damian Marley,Nas,3
Damon Dash,Beanie Sigel,2
Damon Dash,Cam’ron,2
Damon Dash,Kanye West,2
Damon Dash,Twista,2
Damon Dash,Young Chris,2
Das EFX,Redman,4
Daz Dillinger,3tre tha Hardway,3
Daz Dillinger,Bad Azz,5
Daz Dillinger,Big Pimpin’ DeLemond,2
Daz Dillinger,Big Tray Deee,6
Daz Dillinger,Bigg Baby,2
